Filename,CGMech
BKW08.pdf.txt,10
BKW09.pdf.txt,10
BKW10.pdf.txt,10
BKW11.pdf.txt,10
BKW12.pdf.txt,10
BKW13.pdf.txt,10
BKW13_financial.pdf.txt,10
BKW14.pdf.txt,10
BKW14_financial.pdf.txt,10
BKW17.pdf.txt,10
BKW18.pdf.txt,10
BKW19.pdf.txt,10
Bobst_02_EN.pdf.txt,5
Bobst_03_EN.pdf.txt,6
Bobst_04_EN.pdf.txt,7
Bobst_07.pdf.txt,9
Bobst_08.pdf.txt,9
Bobst_09.pdf.txt,9
Bobst_10.pdf.txt,9
Bobst_11.pdf.txt,8
Bobst_12.pdf.txt,9
Bobst_13.pdf.txt,7
Bobst_16.txt,8
Bobst_17.txt,8
Bobst_18.txt,8
Bobst_19.txt,8
Bucher_13.pdf.txt,8
Bucher_14.pdf.txt,8
Bucher_15.pdf.txt,10
Bucher_16.pdf.txt,10
Bucher_17.pdf.txt,10
Bucher_18.pdf.txt,10
Bucher_19.pdf.txt,9
Bucher07.pdf.txt,10
Bucher08.pdf.txt,10
Bucher09.pdf.txt,8
Bucher10.pdf.txt,8
Bucher11.pdf.txt,8
Bucher12.pdf.txt,8
BurckhardtCompression_13.txt,10
BurckhardtCompression_14.txt,10
BurckhardtCompression_15.txt,10
BurckhardtCompression08.txt,10
BurckhardtCompression09.txt,10
BurckhardtCompression10.txt,10
BurckhardtCompression11.txt,10
BurckhardtCompression12_new.txt,10
BurckhardtCompression16.pdf.txt,10
BurckhardtCompression17.pdf.txt,8
BurckhardtCompression18.pdf.txt,8
Burkhalter_12.pdf.txt,6
Burkhalter_13.pdf.txt,5
Burkhalter_14.pdf.txt,6
Burkhalter_15.pdf.txt,6
Burkhalter_16.pdf.txt,6
Burkhalter13.pdf.txt,5
Calida_15.pdf.txt,10
Calida_16.pdf.txt,10
Calida_17.pdf.txt,10
Calida_18.pdf.txt,10
Calida_19.pdf.txt,10
Calida03.pdf.txt,8
Calida04.pdf.txt,6
Calida12.pdf.txt,10
Calida13.pdf.txt,10
Calida14.pdf.txt,10
ChamPaperGroup_15.pdf.txt,6
ChamPaperGroup_16.pdf.txt,5
CharlesV?gele02.txt,8
CharlesV?gele03.txt,8
CharlesV?gele05.pdf.txt,10
CharlesV?gele06.pdf.txt,10
CharlesV?gele07.txt,8
CharlesV?gele08.txt,8
CharlesV?gele09.txt,8
CharlesV?gele10.txt,8
CharlesVogele11.txt,8
CharlesVogele12.pdf.txt,9
CharlesVogele13.pdf.txt,9
CIBA 2007.pdf.txt,9
Ciba02.pdf.txt,9
Ciba03.pdf.txt,9
Ciba04.pdf.txt,9
Ciba05.pdf.txt,9
Ciba06.pdf.txt,9
CIBA08.pdf.txt,8
Cicor_17.pdf.txt,6
Cicor_18.pdf.txt,6
Cicor_19.pdf.txt,6
Cicor06.pdf.txt,6
Cicor08.pdf.txt,7
Cicor09.pdf.txt,7
Cicor10 CorpGov_E_Cicor_2010.pdf.txt,7
Cicor10 Finanz_E_Cicor_2010.pdf.txt,7
Cicor11_CG_Financial_2011_en_120305.pdf.txt,7
Cicor12.pdf.txt,7
Cicor13.pdf.txt,7
Cicor13_CorporateGovernance2013_en.pdf.txt,7
Cicor13_FinancialReport2013_en.pdf.txt,7
Cicor14.pdf.txt,7
Cicor15_en_web_160304.pdf.txt,6
Cicor16-en-web.pdf.txt,6
cicorel 2002.pdf.txt,5
Clariant_15.pdf.txt,9
Clariant_16.pdf.txt,9
Clariant_17.pdf.txt,10
Clariant_18.pdf.txt,10
Clariant_19.pdf.txt,10
Clariant02.pdf.txt,10
Clariant03.pdf.txt,10
Clariant04.pdf.txt,10
Clariant05.pdf.txt,10
Clariant06.pdf.txt,10
Clariant07.pdf.txt,9
Clariant08.pdf.txt,7
Clariant09.pdf.txt,7
Clariant10.pdf.txt,7
Clariant11.pdf.txt,9
Clariant12.pdf.txt,9
Clariant13.pdf.txt,9
Clariant14.pdf.txt,9
Coltene RA 2008.pdf.txt,10
Coltene RA 2009.pdf.txt,10
Coltene RA 2010.pdf.txt,10
Coltene RA 2011.pdf.txt,10
Coltene RA 2012.pdf.txt,10
Coltene RA 2013.pdf.txt,10
Coltene RA 2014.pdf.txt,10
Coltene RA 2015.pdf.txt,10
Coltene RA 2016.pdf.txt,10
Coltene RA 2017.pdf.txt,10
Coltene RA 2018.pdf.txt,10
Coltene RA 2019.pdf.txt,9
Comet Holding AG RA 2005.pdf.txt,6
Comet Holding AG RA 2006.pdf.txt,9
Comet Holding AG RA 2007.pdf.txt,10
Comet Holding AG RA 2008.pdf.txt,10
Comet Holding AG RA 2009.pdf.txt,10
Comet Holding AG RA 2010.pdf.txt,9
Comet Holding AG RA 2011.pdf.txt,10
Comet Holding AG RA 2012.pdf.txt,10
Comet Holding AG RA 2013.pdf.txt,10
Comet Holding AG RA 2014.pdf.txt,10
Comet Holding AG RA 2015.pdf.txt,10
Comet Holding AG RA 2016.pdf.txt,10
Comet Holding AG RA 2017.pdf.txt,10
Comet Holding AG RA 2018.pdf.txt,10
Comet Holding AG RA 2019.pdf.txt,9
Conzetta04.pdf.txt,4
Conzetta05.pdf.txt,4
Conzetta06.pdf.txt,4
Conzetta07.pdf.txt,4
Conzetta08.pdf.txt,4
Conzetta09.pdf.txt,4
Conzetta11.pdf.txt,4
Conzzeta_13.pdf.txt,4
Conzzeta_14.pdf.txt,4
Conzzeta_15.pdf.txt,4
Conzzeta_16.pdf.txt,6
Conzzeta_17.pdf.txt,8
Conzzeta_18.pdf.txt,8
Conzzeta_19.pdf.txt,8
Conzzeta10_new.pdf.txt,8
Conzzeta12_new.pdf.txt,8
COS 2010.pdf.txt,7
Cosmo Pharmaceuticals RA 2007.pdf.txt,9
Cosmo Pharmaceuticals RA 2008.pdf.txt,8
Cosmo Pharmaceuticals RA 2009.pdf.txt,8
Cosmo Pharmaceuticals RA 2010.pdf.txt,8
Cosmo Pharmaceuticals RA 2011.pdf.txt,8
Cosmo Pharmaceuticals RA 2012.pdf.txt,8
Cosmo Pharmaceuticals RA 2013.pdf.txt,8
Cosmo Pharmaceuticals RA 2014.pdf.txt,9
Cosmo Pharmaceuticals RA 2015.pdf.txt,9
Cosmo Pharmaceuticals RA 2016.pdf.txt,9
Cosmo Pharmaceuticals RA 2017.pdf.txt,9
Cosmo Pharmaceuticals RA 2018.pdf.txt,8
Cosmo Pharmaceuticals RA 2019.pdf.txt,9
Crealogix 2002-2003 annual_report_01_02_e.pdf.txt,7
Crealogix 2003-2004 annual_report_01_02_e.pdf.txt,7
Crealogix 2004-2005 annual_report_01_02_e.pdf.txt,5
Crealogix 2005-2006 annual_report_01_02_e.pdf.txt,5
Crealogix 2006-2007 annual_report_01_02_e.pdf.txt,5
Crealogix 2007-2008 annual_report_01_02_e.pdf.txt,5
Crealogix 2008-2009 annual_report_01_02_e.pdf.txt,5
Crealogix 2009-2010 annual_report_01_02_e.pdf.txt,5
Crealogix 2010-2011 annual_report_01_02_e.pdf.txt,5
Crealogix 2011-2012 annual_report_01_02_e.pdf.txt,7
Crealogix 2012-2013 annual_report_01_02_e.pdf.txt,7
Crealogix 2013-2014 annual_report_01_02_e.pdf.txt,7
Crealogix_14-15.pdf.txt,7
Crealogix_15-16.pdf.txt,6
Crealogix_16-17.pdf.txt,5
Crealogix_17-18.pdf.txt,7
Crealogix_18-19.pdf.txt,7
Cytos05.pdf.txt,9
Cytos06.pdf.txt,7
Cytos07.pdf.txt,10
Cytos08.pdf.txt,8
Cytos09.pdf.txt,8
Cytos10.pdf.txt,8
Cytos11.pdf.txt,7
Cytos12.pdf.txt,9
Cytos13.pdf.txt,9
Cytos14.pdf.txt,9
Datacolor_15.pdf.txt,6
Datacolor_16.pdf.txt,8
Datacolor_17.pdf.txt,7
Datacolor_18.pdf.txt,7
Datacolor_19.pdf.txt,7
Datwyler_13.pdf.txt,8
Datwyler_14.pdf.txt,8
Datwyler_15.pdf.txt,8
Datwyler_16.pdf.txt,8
Datwyler_17.pdf.txt,8
Datwyler_18.pdf.txt,8
Datwyler_19.pdf.txt,8
Datwyler04.pdf.txt,6
Datwyler05.pdf.txt,6
Datwyler06.pdf.txt,6
Datwyler07.pdf.txt,9
Datwyler08.pdf.txt,7
Datwyler09.pdf.txt,7
Datwyler10.pdf.txt,7
Datwyler11.pdf.txt,9
Datwyler12.pdf.txt,9
Day 2002.pdf.txt,5
Day 2003.pdf.txt,7
Day 2004.pdf.txt,7
Day 2005.pdf.txt,7
Day 2008.pdf.txt,6
Day 2009.pdf.txt,6
DKSH  2015.pdf.txt,10
DKSH  2016.pdf.txt,10
DKSH  2017.pdf.txt,10
DKSH  2018.pdf.txt,10
DKSH  2019.pdf.txt,10
Dottikon ES_2013_14_annual_report.pdf.txt,8
Dottikon ES_annual_report_2019_20.pdf.txt,7
Dottikon_annual_report_2005_06.txt,9
Dottikon_annual_report_2006_07.pdf.txt,9
Dottikon_annual_report_2007_08.pdf.txt,9
Dottikon_annual_report_2008_09.txt,9
Dottikon_annual_report_2009_10.pdf.txt,9
Dottikon_annual_report_2010_11.pdf.txt,9
Dottikon_annual_report_2011_12.pdf.txt,9
dottikon_annual_report_2012_13.pdf.txt,8
Dufry RA 2008.txt,8
Dufry RA 2009.pdf.txt,9
Dufry RA 2010.pdf.txt,9
Dufry RA 2011.pdf.txt,9
Dufry RA 2012.pdf.txt,8
Dufry RA 2013.pdf.txt,9
Dufry RA 2014.pdf.txt,9
Dufry RA 2015.pdf.txt,9
Dufry RA 2016.pdf.txt,9
Dufry RA 2017.pdf.txt,9
Dufry RA 2018.pdf.txt,9
Dufry RA 2019.pdf.txt,9
Edipresse 2002.pdf.txt,6
Edipresse 2003.pdf.txt,6
Edipresse 2004.pdf.txt,6
Edipresse 2005.pdf.txt,7
Edipresse 2008.pdf.txt,7
Edipresse 2009.pdf.txt,7
Edipresse 2010.pdf.txt,7
ElmaElectronic_13.pdf.txt,7
ElmaElectronic_14.pdf.txt,7
ElmaElectronic_15.pdf.txt,6
ElmaElectronic_17.pdf.txt,6
ElmaElectronic_18.pdf.txt,6
Emmi Annual Report 2007.pdf.txt,7
emmi_annual_report_2004.pdf.txt,6
emmi_annual_report_2005.pdf.txt,6
emmi_annual_report_2006.pdf.txt,7
emmi_annual_report_2008.pdf.txt,7
emmi_annual_report_2009.pdf.txt,7
emmi_annual_report_2010.pdf.txt,7
emmi_annual_report_2011.pdf.txt,7
emmi_annual_report_2012.pdf.txt,7
emmi_annual_report_2013.pdf.txt,7
emmi_annual_report_2014.pdf.txt,7
emmi_annual_report_2015-1.pdf.txt,7
Emmi_Annual_Report_2016.pdf.txt,7
Emmi_AR17_en.pdf.txt,7
Emmi_AR18.pdf.txt,7
Emmi_AR19.pdf.txt,7
Evolva_13.pdf.txt,3
Evolva_19.pdf.txt,9
Evolva_2012.pdf.txt,3
Evolva_2016.pdf.txt,3
Evolva_2017.pdf.txt,9
Evolva_2018.pdf.txt,9
Evolva11.pdf.txt,9
evolva-14-en.pdf.txt,3
Evolva-15.pdf.txt,9
Forbo_AR_2015.pdf.txt,9
Forbo_AR_2016.pdf.txt,9
Forbo_AR_2017.pdf.txt,8
Forbo_AR_2018.pdf.txt,8
Forbo_AR_2019.pdf.txt,8
Forbo02.pdf.txt,9
Forbo03.pdf.txt,10
Forbo04.pdf.txt,10
Forbo05.pdf.txt,9
Forbo06.pdf.txt,9
Forbo07.pdf.txt,10
Forbo08.pdf.txt,10
Forbo09..pdf.txt,10
Forbo10.pdf.txt,10
Forbo11.pdf.txt,10
Forbo12.pdf.txt,9
Forbo13.pdf.txt,10
Forbo14.pdf.txt,9
Galencia02.pdf.txt,4
Galencia03.pdf.txt,3
Galencia04.pdf.txt,3
Galencia05.pdf.txt,5
Galencia06.pdf.txt,5
Galencia07.pdf.txt,7
Galencia08 AR.pdf.txt,7
Galencia09.pdf.txt,7
Galencia10.pdf.txt,7
Galencia11.pdf.txt,8
Galenica_AR_2012.pdf.txt,9
Galenica_AR_2013.pdf.txt,9
Galenica_AR_2014.pdf.txt,9
Galenica_AR_2015.pdf.txt,9
Galenica_AR_2016.pdf.txt,9
Galenica_new_AR_2017.pdf.txt,9
Galenica_new_AR_2018.pdf.txt,10
Galenica_new_AR_2019.pdf.txt,10
Gavazzi_07-08.pdf.txt,6
Gavazzi_08-09.pdf.txt,6
Gavazzi_13-14.pdf.txt,6
Gavazzi_14-15.pdf.txt,6
Gavazzi_15.pdf.txt,6
Gavazzi_17.pdf.txt,6
Gavazzi_18.pdf.txt,6
Gavazzi_19.pdf.txt,6
Gavazzi09.pdf.txt,7
Gavazzi10.pdf.txt,7
Gavazzi11.pdf.txt,8
Gavazzi12.pdf.txt,8
Geberit_2014.pdf.txt,9
Geberit_AR_2002.pdf.txt,9
Geberit_AR_2003.pdf.txt,9
Geberit_AR_2004.pdf.txt,9
Geberit_AR_2005.pdf.txt,9
Geberit_AR_2013.pdf.txt,10
Geberit_AR_2014.pdf.txt,9
Geberit_AR_2015.pdf.txt,10
Geberit_AR_2016.pdf.txt,10
Geberit_AR_2017.pdf.txt,10
Geberit_AR_2018.pdf.txt,10
Geberit_AR_2019.pdf.txt,9
Geberit_GB2013_en.pdf.txt,10
Geberit06.pdf.txt,9
Geberit07.pdf.txt,9
Geberit08.pdf.txt,8
Geberit09.pdf.txt,8
Geberit10.pdf.txt,8
Geberit12.pdf.txt,10
Georg_Fischer_AR_2015.pdf.txt,9
Georg_Fischer_AR_2016.pdf.txt,9
Georg_Fischer_AR_2017.pdf.txt,9
Georg_Fischer_AR_2018.pdf.txt,9
Georg_Fischer_AR_2019.pdf.txt,9
GeorgFischer14.pdf.txt,9
GeorgFisher02.pdf.txt,9
GeorgFisher03.pdf.txt,8
GeorgFisher04.pdf.txt,8
GeorgFisher05.pdf.txt,9
GeorgFisher06.pdf.txt,9
GeorgFisher07.pdf.txt,9
GeorgFisher08.pdf.txt,9
GeorgFisher09.pdf.txt,9
GeorgFisher10.pdf.txt,9
GeorgFisher11.pdf.txt,9
GeorgFisher12.pdf.txt,9
GeorgFisher13.pdf.txt,9
Givaudan_11.pdf.txt,10
Givaudan_13.pdf.txt,10
Givaudan_14.pdf.txt,10
Givaudan_AR_2013.pdf.txt,10
Givaudan_AR_2014.pdf.txt,10
Givaudan_AR_2015.pdf.txt,10
Givaudan_AR_2016.pdf.txt,10
Givaudan_AR_2017.txt,10
Givaudan_AR_2018.txt,10
Givaudan_AR_2019.txt,10
Givaudan_Compensation_2019.txt,10
Givaudan02.pdf.txt,10
Givaudan03.pdf.txt,10
Givaudan04.pdf.txt,10
Givaudan05.pdf.txt,9
Givaudan06.pdf.txt,10
givaudan06ar_fy2006.pdf.txt,10
Givaudan07.pdf.txt,10
givaudan07ar_fy2007.pdf.txt,10
Givaudan08.pdf.txt,10
Givaudan09.pdf.txt,10
Givaudan10.pdf.txt,10
Givaudan12.pdf.txt,10
glo-Sika-Annual-Report-2016.pdf.txt,10
Gurit 2003.pdf.txt,7
Gurit 2004.pdf.txt,7
Gurit 2005.pdf.txt,7
Gurit 2006.pdf.txt,8
Gurit_Heberlein_AR_2007.pdf.txt,8
Gurit_Heberlein_AR_2008.pdf.txt,8
Gurit_Heberlein_AR_2009.pdf.txt,8
Gurit_Heberlein_AR_2010.pdf.txt,8
Gurit_Heberlein_AR_2011.pdf.txt,9
Gurit_Heberlein_AR_2012.pdf.txt,9
Gurit_Heberlein_AR_2013.pdf.txt,9
Gurit_Heberlein_AR_2014.pdf.txt,9
Gurit_Heberlein_AR_2015.pdf.txt,9
Gurit_Heberlein_AR_2016.pdf.txt,9
Gurit_Heberlein_AR_2017.txt,9
Gurit_Heberlein_AR_2018.txt,9
Gurit_Heberlein_AR_2019.txt,9
Hiestand R annual-report-2011a.pdf.txt,9
Hiestand R annual-report-2012a.pdf.txt,9
Hiestand R annual-report-2013a.pdf.txt,9
Hiestand R annual-report-2014a.pdf.txt,9
Hiestand_Annual_Report_2007.pdf.txt,7
HOCHDORF Annual Report 2015.pdf.txt,8
HOCHDORF Annual Report 2016.pdf.txt,8
HOCHDORF Annual Report 2017.pdf.txt,9
HOCHDORF Annual Report 2018.pdf.txt,9
HOCHDORF Annual Report 2019.pdf.txt,8
HOCHDORF_Annual_Report_2013.pdf.txt,8
HOCHDORF_Annual_Report_2014.pdf.txt,8
HOCHDORF_GB_2012_e.pdf.txt,8
holcim_AR_2013.pdf.txt,10
holcim_AR_2014.pdf.txt,10
Holcim02.pdf.txt,8
Holcim03.pdf.txt,8
Holcim04.pdf.txt,9
Holcim05.pdf.txt,9
Holcim06.pdf.txt,9
Holcim07.pdf.txt,10
Holcim08.pdf.txt,10
Holcim09.pdf.txt,10
Holcim10.pdf.txt,9
Holcim11.pdf.txt,10
Holcim12.pdf.txt,10
Holcim13.pdf.txt,10
Holcim14.pdf.txt,10
hs-annual-report-2016.pdf.txt,10
Huber & Suhner 2011.pdf.txt,10
Huber & Suhner 2012_CG.pdf.txt,10
Huber & Suhner 2013.pdf.txt,10
Huber & Suhner 2013_CG.pdf.txt,10
Huber & Suhner 2014_1.pdf.txt,10
Huber & Suhner 2014_CG.pdf.txt,10
Huber & Suhner annual-report-2017-en.pdf.txt,10
Huber Suhner_2018-annual-report.pdf.txt,10
Huber Suhner_2019_Financial-Report-E.pdf.txt,10
HUBS-gb-2014-2-engl-neu.pdf.txt,10
HUBS-GB2015-engl-neu.pdf.txt,10
Huegli_2014_Annual_Report.pdf.txt,6
Huegli_2015_Annual_Report.pdf.txt,6
Huegli_Annual_Report_2016.pdf.txt,6
Huegli_Annual_Report_2017.pdf.txt,6
HÙgli11EN.pdf.txt,6
HÙgli12EN.pdf.txt,6
HÙgli13EN.pdf.txt,6
Idorsia-annual-report-2017-compensation.pdf.txt,10
Idorsia-annual-report-2017-financial.pdf.txt.txt,10
Idorsia-annual-report-2017-governance.pdf.txt,10
Idorsia-annual-report-2018-compensation.pdf.txt,10
Idorsia-annual-report-2018-financial.pdf.txt,10
Idorsia-annual-report-2018-governance.pdf.txt,10
Idorsia-annual-report-2019-compensation.pdf.txt,10
Idorsia-annual-report-2019-governance.pdf.txt,10
Implenia_AR_2006.pdf.txt,10
Implenia_AR_2007.pdf.txt,10
Implenia_AR_2008.pdf.txt,10
Implenia_AR_2009.pdf.txt,9
Implenia_AR_2010.pdf.txt,9
Implenia_AR_2011.pdf.txt,10
Implenia_AR_2012.pdf.txt,10
Implenia_AR_2013.pdf.txt,10
Implenia_AR_2014.pdf.txt,10
Implenia_AR_2015.pdf.txt,10
Implenia_AR_2016.pdf.txt,10
Implenia_AR_2017.pdf.txt,10
Implenia_AR_2018.pdf.txt,10
Implenia_AR_2019.pdf.txt,10
Industrieholding 2004.pdf.txt,6
Industrieholding gb2005_englisch.pdf.txt,7
Inficon_13.txt,9
Inficon_14.txt,9
Inficon_2015.txt,9
Inficon_2016.txt,9
Inficon_2017.txt,9
Inficon_2018.txt,9
Inficon_2019.txt,9
Inficon02.pdf.txt,8
Inficon03.pdf.txt,9
Inficon04.pdf.txt,9
Inficon05.txt,9
Inficon06.txt,8
Inficon07.pdf.txt,10
Inficon08.pdf.txt,10
Inficon09.pdf.txt,10
Inficon10.pdf.txt,10
Inficon11.pdf.txt,9
Inficon12.pdf.txt,9
Infranor_13-14.pdf.txt,5
Infranor04-05.pdf.txt,5
Infranor06-07.pdf.txt,5
Infranor07-08.pdf.txt,5
Infranor08-09.pdf.txt,5
Infranor09-10.pdf.txt,5
Infranor10-11.pdf.txt,5
Infranor11.pdf.txt,6
Infranor12.pdf.txt,7
Infranor14.pdf.txt,5
iso2002.pdf.txt,6
isotis03.pdf.txt,9
Isotis04.pdf.txt,7
Isotis05.pdf.txt,9
Isotis06.pdf.txt,9
Kaba_11.pdf.txt,9
