Token,Coefficient
cause,0.03
cautionary,0.01
cautiously,0.01
caçapava,0.02
cc,0.04
ccm,0.02
ccs,0.01
cct,0.01
cdc,0.02
cdi,0.01
cdn,0.01
cdp,0.02
cea,0.01
cease,0.01
ceatec,0.01
cecimo,0.01
cedar,0.02
cee,0.05
cefic,0.01
ceftobiprole,0.01
cei,0.02
ceiling,0.02
cell,0.06
cellcept,0.03
cellulose,0.02
cember,0.02
cement,0.13
cementation,0.01
cementitious,0.01
cemento,0.01
cent,0.13
centime,0.01
central,0.04
centralisation,0.01
centralise,0.02
centralization,0.01
centralized,0.01
centrally,0.04
ceo,0.06
ceos,0.01
cep,0.02
cept,0.02
ception,0.01
ceptional,0.01
cer,0.07
ceramic,0.01
cereal,0.04
cerebral,0.01
cerplex,0.01
cert,0.01
certainty,0.01
certificated,0.01
certification,0.02
certina,0.01
certiﬁ,0.04
certiﬁcate,0.05
certiﬁcation,0.01
cessive,0.01
cfc,0.01
cfo,0.01
cg,0.02
cgmp,0.03
cgus,0.03
chace,0.01
chair,0.01
chairmanship,0.01
chairperson,0.04
chairs,0.01
chairwoman,0.01
chambers,0.01
chambre,0.01
chang,0.01
change,0.2
changement,0.01
changshu,0.04
changzhou,0.05
chapero,0.03
chaque,0.01
characteristic,0.01
charging,0.01
charity,0.01
charité,0.01
charle,0.03
charles,0.14
charleswater,0.01
charlotte,0.03
charmille,0.04
charmilles,0.01
charney,0.01
chart,0.01
chartered,0.01
chase,0.01
chatou,0.01
chavonay,0.01
cheer,0.01
cheese,0.01
chem,0.02
chemical,0.12
chemically,0.01
chemicals,0.02
chemin,0.02
chemipro,0.01
chemistry,0.02
chemtech,0.01
chennai,0.01
cheon,0.01
chfk,0.02
chfm,0.08
chicago,0.03
chief,0.07
chih,0.01
child,0.01
childcare,0.01
chile,0.01
chinaust,0.01
chine,0.01
chip,0.01
chipset,0.02
chmp,0.01
chocolate,0.01
choindez,0.01
chong,0.01
chr,0.03
christer,0.01
christian,0.07
christmas,0.01
christo,0.01
christodoulou,0.01
christopher,0.02
chro,0.03
chrome,0.02
chromic,0.01
chronic,0.08
chronically,0.01
chu,0.02
chuard,0.02
chucker,0.01
chul,0.01
churchill,0.02
churerstrasse,0.01
chy,0.01
cial,0.04
cian,0.01
ciarie,0.01
ciba,0.32
cible,0.01
cibn,0.01
cie,0.01
ciently,0.01
cilag,0.05
cilitie,0.01
cimo,0.01
cincinnati,0.01
cine,0.01
cinecom,0.04
cinema,0.03
cinetrade,0.01
cinq,0.01
circular,0.01
circulate,0.01
circulation,0.01
circumstance,0.01
circumvent,0.03
cision,0.01
cistern,0.01
citibank,0.01
citiz,0.01
citizen,0.06
citizenship,0.01
city,0.01
civil,0.03
ckd,0.03
claire,0.01
clara,0.01
clariant,0.36
claris,0.01
clarity,0.01
classical,0.02
classification,0.02
classified,0.03
classify,0.04
claudia,0.02
claudio,0.01
clause,0.03
clazosentan,0.01
cle,0.01
clean,0.02
cleanliness,0.01
cleansing,0.01
clear,0.01
clearstream,0.01
clearwater,0.01
cleft,0.01
cleto,0.01
click,0.02
cliff,0.02
climatic,0.01
clinical,0.07
clinically,0.01
clinician,0.01
clinker,0.01
cln,0.01
clos,0.01
closeness,0.01
closing,0.02
clothe,0.01
clothing,0.02
cloud,0.01
clozel,0.02
cls,0.01
cltn,0.01
cluj,0.01
clusive,0.01
cm,0.01
cmd,0.03
cny,0.05
coach,0.02
coal,0.01
coalition,0.01
coalville,0.01
coat,0.05
coating,0.1
coaxial,0.04
cobe,0.01
cochlear,0.01
code,0.01
codify,0.01
codm,0.03
coevorden,0.01
coextrusion,0.01
coffee,0.01
cognitive,0.02
cohen,0.02
coherence,0.01
coinsin,0.01
coio,0.01
cojocaru,0.01
coke,0.01
cold,0.02
colin,0.02
colitis,0.02
collaborative,0.02
collage,0.01
collapse,0.01
colleague,0.01
collect,0.02
collectability,0.01
collection,0.03
collective,0.01
college,0.01
collignon,0.01
collusion,0.01
colocation,0.01
cologny,0.06
colombel,0.01
colon,0.01
color,0.03
colorado,0.01
colorant,0.01
coloration,0.01
colormetal,0.01
colorwork,0.01
colorworks,0.01
coltene,0.39
coltène,0.04
columbia,0.01
combination,0.02
comco,0.01
comcom,0.01
comdisco,0.02
comercial,0.01
comet,0.26
comforspin,0.01
comfort,0.01
comit,0.01
comité,0.04
commence,0.01
commentary,0.03
commentaryarbonia,0.01
commercial,0.03
commercialization,0.08
commercialize,0.04
commercially,0.01
commerzbank,0.01
commit,0.01
committed,0.01
committee,0.46
commodity,0.01
common,0.04
communicate,0.02
communication,0.08
communications,0.01
community,0.03
commuter,0.03
como,0.01
comp,0.01
comparative,0.01
comparator,0.01
compare,0.01
compartment,0.03
compatibility,0.02
compendiumportal,0.01
compensa,0.01
compensation,0.43
competency,0.02
compile,0.01
compl,0.01
complan,0.01
complete,0.03
completion,0.04
complexity,0.02
compliance,0.02
complication,0.01
complie,0.01
componeer,0.01
component,0.03
components,0.01
compose,0.01
composite,0.05
composition,0.01
compound,0.05
compounding,0.01
comprehensive,0.13
compression,0.15
compressor,0.05
comprido,0.01
compris,0.01
computacenter,0.01
computing,0.01
comtesse,0.02
comvat,0.01
conakry,0.01
conceive,0.01
concentr,0.01
concerned,0.01
concert,0.02
concession,0.02
conch,0.01
concrete,0.07
condecta,0.02
condense,0.02
condition,0.07
conditional,0.03
conditionally,0.01
condominium,0.02
conduct,0.02
conduit,0.01
conergy,0.01
confection,0.01
confederation,0.01
confer,0.01
conference,0.03
conflict,0.02
conformity,0.02
conformément,0.01
conglomerate,0.01
congo,0.01
congost,0.01
congress,0.01
congruent,0.01
coninx,0.09
conjunction,0.02
connect,0.01
connection,0.04
connectivity,0.02
connector,0.08
connell,0.01
conpatex,0.01
conscience,0.01
conseil,0.01
consent,0.01
consequence,0.01
consession,0.01
conshohocken,0.01
consideration,0.07
consilux,0.01
consist,0.01
consistent,0.02
conso,0.01
console,0.02
constant,0.01
constantly,0.01
constituting,0.01
constitution,0.01
construct,0.01
construction,0.08
constructive,0.01
consul,0.01
consulta,0.01
consultants,0.01
consultation,0.01
consultative,0.01
consume,0.01
consumer,0.1
consumption,0.07
cont,0.01
contactless,0.01
containment,0.01
contakt,0.01
contamination,0.01
contax,0.01
contel,0.01
content,0.01
context,0.04
conthey,0.01
contin,0.01
continental,0.01
contingent,0.01
continous,0.01
continuity,0.01
continuous,0.02
continuously,0.02
contr,0.01
contract,0.02
contracting,0.03
contractual,0.06
contractually,0.02
contrat,0.01
contraves,0.01
contre,0.01
contri,0.01
contribute,0.02
contributory,0.01
control,0.03
controll,0.01
controlling,0.07
contura,0.01
conurbation,0.01
convector,0.02
convene,0.03
convenient,0.01
conventional,0.01
conver,0.01
convergence,0.01
converium,0.01
conversa,0.01
conversely,0.01
conversion,0.06
converter,0.02
convertible,0.07
conviction,0.01
conzelmann,0.01
conﬁ,0.03
conﬁrmation,0.01
conﬁrme,0.01
conﬂict,0.01
coo,0.08
cookie,0.01
cooking,0.01
cookware,0.01
coolbox,0.02
cooney,0.01
cooperativa,0.01
coordinate,0.01
coperion,0.05
copy,0.01
cor,0.04
corbetta,0.01
corbion,0.03
corboud,0.01
cord,0.02
cordance,0.01
corded,0.01
cordless,0.02
core,0.02
corebanking,0.01
corn,0.03
coronavirus,0.01
correctness,0.01
correspond,0.04
corridor,0.02
corroborate,0.01
corrosion,0.01
corruption,0.02
corsi,0.01
cosa,0.04
cosmetic,0.02
cosmo,0.05
costa,0.04
costing,0.01
costruzioni,0.01
cosy,0.01
cotton,0.01
cough,0.01
council,0.04
councilor,0.01
counter,0.01
counterfeit,0.01
counterpartie,0.03
counterparty,0.02
countervalue,0.01
counting,0.01
countrywide,0.01
couple,0.01
cour,0.01
court,0.01
courtabœuf,0.01
couverture,0.01
covenant,0.01
coverage,0.03
covercrete,0.01
covering,0.03
coverino,0.01
coverly,0.01
coworke,0.01
cpa,0.01
cpip,0.01
cpr,0.01
cr,0.01
cra,0.01
cranberry,0.01
crane,0.01
crash,0.01
cream,0.01
creased,0.01
creatype,0.01
crede,0.01
credibility,0.01
credit,0.03
creditable,0.01
creditworthiness,0.01
creek,0.01
crete,0.01
crime,0.01
crimp,0.01
crimper,0.01
crimping,0.03
criterion,0.05
critical,0.02
crivelli,0.01
cro,0.01
