Token,Coefficient
abbé,-0.0
abbühl,0.0
abc,-0.0
abcc,0.0
abcdefg,0.05
abcp,0.04
abd,0.0
abda,0.0
abdallah,-0.0
abdecken,0.0
abdecklack,-0.0
abdelaziz,-0.0
abdelfattah,0.0
abdelhamid,0.02
abdelkrim,0.0
abderhalden,0.01
abdessamad,-0.0
abdi,-0.0
abdichtungssysteme,0.0
abdifatah,-0.0
abdiskontieren,-0.0
abdiskontierten,-0.0
abdiwahab,-0.0
abdoman,0.0
abdomen,0.0
abdominal,0.01
abdoulkadir,-0.0
abdul,0.0
abdulakh,0.0
abdulla,0.0
abdullah,0.01
abe,0.0
abeba,0.0
abedin,-0.0
abee,0.0
abegg,0.04
abel,-0.0
abell,0.0
abelló,0.0
abelson,-0.0
abend,0.01
abendtechnikum,-0.0
abenteuer,-0.0
abeparvovec,0.0
aber,-0.02
abercrombie,-0.0
aberdeen,-0.01
aberdeenshire,-0.0
aberislamic,0.0
abernethy,0.0
aberrant,0.0
aberration,-0.01
abertis,-0.01
abeta,0.0
abetare,-0.0
abetting,0.0
abeyta,0.0
abf,-0.01
abfall,-0.01
abfallartenverteilung,0.0
abfallbörse,0.0
abfallstoffen,0.0
abfertigung,-0.0
abflachen,0.0
abfluss,-0.0
abformmaterialien,0.0
abformung,0.0
abfüllt,-0.0
abg,-0.0
abgabe,-0.0
abgang,-0.0
abge,0.0
abgebaut,-0.0
abgeben,-0.0
abgebildet,0.0
abgedeckt,0.0
abgefüllt,-0.0
abgegeben,0.0
abgegebene,-0.0
abgegebenen,0.0
abgegrenzt,-0.0
abgegrenzten,-0.0
abgehalten,-0.0
abgelaufen,-0.0
abgelaufene,0.0
abgelaufenen,0.0
abgelehnt,-0.0
abgenomman,-0.0
abgerufen,-0.0
abgeschlossen,0.0
abgeschlossene,0.02
abgeschlossenen,-0.0
abgeschnitten,0.0
abgeschrieben,-0.0
abgeschriebenen,-0.0
abgeschwächt,0.0
abgesehen,-0.0
abgesetzt,0.0
abgesetzten,0.0
abgesicherte,-0.0
abgesicherten,-0.0
abgestimmt,0.0
abgestimmte,0.0
abgestimmten,0.0
abgestützt,0.0
abgestützte,0.0
abgetreten,0.0
abgewickelt,-0.0
abgewiesen,-0.0
abgezogen,-0.0
abgibt,-0.0
abgleichung,-0.0
abgottspon,0.0
abgrenzung,-0.0
abgrenzungen,-0.0
abgu,-0.0
abgänge,-0.01
abhalten,0.0
abheben,0.0
abhebt,0.0
abhijit,0.0
abhinav,-0.0
abhishek,0.0
abhält,-0.0
abhängen,-0.0
abhängig,0.0
abhängige,-0.0
abhängigkeit,-0.0
abhängt,0.0
abi,-0.03
abia,0.0
abicipar,0.12
abid,0.0
abide,0.0
abiding,0.01
abidjan,0.01
abierto,-0.0
abieta,-0.0
abijan,0.0
abiko,-0.0
abil,-0.0
abilene,0.0
abili,0.0
abilio,0.0
abilis,-0.01
ability,0.01
abilityto,-0.0
abilitytransparencygrowthcompany,0.0
abilji,-0.0
abill,0.0
abimbola,0.0
abimo,0.0
abinde,0.0
abingworth,0.06
abionic,-0.01
abiotic,0.0
abiquim,0.0
abiraterone,0.0
abitur,-0.0
abj,-0.0
abject,-0.0
abkehr,0.0
abklärung,-0.0
abklärungen,-0.0
abkühlung,0.0
abl,0.0
abla,0.0
ablate,-0.0
ablating,-0.0
ablation,0.01
ablauf,-0.0
ablaufdatum,0.0
ablaza,0.0
able,-0.04
ablebodie,0.0
ablehnen,0.0
ablehnung,-0.0
ableness,-0.0
ableto,0.0
abletoacquirevariousnewcustomerswithnewoemcustomer,0.0
ablett,0.0
ablize,0.0
abloy,0.0
ablue,-0.0
ably,0.0
ablynx,0.01
abläufe,0.0
abläufen,0.0
abläuft,-0.0
ablösen,-0.0
abn,-0.01
abnahme,-0.0
abnahmevirusmengesigniﬁkant,0.0
abnehmer,0.0
abnimmt,-0.0
abnormal,-0.01
abnormality,-0.0
abnormally,0.0
abnormaltie,0.0
abo,0.01
aboard,0.0
abobo,0.0
abode,0.0
abolic,0.0
abolish,0.02
abolishe,-0.0
abolishment,0.0
abolition,0.01
abominable,0.0
abonax,0.01
abondone,-0.0
abonnement,0.0
abonnementservice,-0.0
abor,0.0
abordable,0.0
aborde,0.0
abordées,0.0
aboreica,0.0
aboriginal,0.0
abort,-0.0
abortive,0.0
abortus,0.0
abott,-0.0
abound,0.0
abouti,0.0
aboutir,0.0
aboutmake,0.0
aboutwhether,0.0
aboveaverage,-0.0
aboveexpectation,-0.0
aboveground,0.0
abovementione,0.0
abovementioned,0.0
abovename,-0.0
abovenamed,0.0
abovmentione,0.0
abp,-0.0
abpi,-0.01
abplanalp,-0.01
abra,0.0
abraaj,0.0
abrader,-0.0
abrafati,0.0
abrafoam,-0.04
abraham,-0.07
abrahamlouis,-0.0
abrale,0.0
abrams,-0.0
abramson,0.0
abrasion,0.0
abrasive,-0.36
abrasives,-0.01
abrasivos,-0.02
abrasta,0.0
abraxane,0.0
abraxas,-0.01
abreast,-0.01
abrechnung,0.0
abrechnungsdatum,0.0
abrechnungskasse,0.0
abrechnungspreis,0.0
abrera,-0.0
abresch,0.0
abridge,0.0
abridged,0.0
abright,0.0
abril,0.01
abris,0.0
abritait,0.0
abritant,0.0
abro,0.0
abroad,-0.02
abrogate,0.01
abrogation,0.01
abroger,0.0
abrufbar,-0.0
abrufen,-0.0
abrupt,-0.0
abrupte,0.0
abrupten,-0.0
abruption,0.0
abruptly,-0.0
abruzzo,0.0
abry,0.0
abs,0.0
absa,-0.0
absatz,0.0
absatze,0.0
absatzentwicklung,0.0
absatzmärkte,0.0
absatzmärkten,-0.0
absatzmöglichkeiten,0.0
absatzprognosen,0.0
absatztätigkeiten,0.0
absatzvoluman,0.0
absatzzahlen,0.0
abscess,-0.0
abschliessen,-0.0
abschluss,0.01
abschlusse,-0.0
abschlusserstellung,-0.0
abschlussstichtag,-0.0
abschnitt,-0.03
abschnitte,-0.0
abschnitten,0.0
abschnitts,-0.0
abschreiben,-0.0
abschreibung,-0.0
abschreibungen,-0.02
abschreibungsdauer,-0.0
abschwung,-0.01
abschwungs,0.0
abschwächung,0.0
absehbar,-0.0
abseiling,-0.0
abseit,0.0
absek,0.0
absence,0.04
absent,0.02
absentee,0.01
absenteeism,0.01
absheron,0.0
absicherung,-0.01
absicht,0.0
absinthum,0.0
abso,0.0
absolu,0.0
absolue,-0.01
absolut,-0.02
absolute,0.03
absolutely,-0.0
absoluten,0.0
absoluter,-0.0
absolve,0.01
absorb,-0.01
absorbable,0.0
absorbance,-0.01
absorbed,-0.0
absorbent,-0.0
absorber,0.03
absorbing,0.0
absorbtion,-0.0
absorptiometry,0.0
absorption,0.01
absorptionofesec,0.0
absorptionsschwierigkeiten,-0.0
absorptionszeit,-0.0
absoulute,0.0
abspielen,0.0
absprache,-0.0
absssi,-0.05
abstain,0.0
abstainment,0.0
abstellen,0.0
abstellend,0.0
abstention,0.01
abstimman,-0.0
abstimmen,-0.0
abstimmung,-0.01
abstimmungen,-0.0
abstimmungsmechanismus,0.0
abstimmungsresultat,-0.0
abstimmungsresultate,-0.0
abstinence,0.0
abstinent,0.0
abstract,-0.01
abstraction,-0.0
abstände,0.0
abstützung,0.0
absurd,0.0
absurdity,0.0
abt,-0.03
abta,-0.0
abtastleistung,0.0
abtc,-0.02
abteilung,-0.01
abtwil,0.0
abu,0.01
abuilde,0.0
abuja,0.0
abunda,-0.01
abundance,0.0
abundant,0.0
abundantly,0.01
abus,0.0
abuse,0.01
abusive,0.01
abusively,0.0
abutment,-0.0
abuzz,-0.0
abv,0.0
abverkäufe,-0.0
abvoe,0.0
abwaschen,-0.0
abwasser,-0.0
abwehrmassnahman,-0.0
abwehrmassnahmen,0.0
abweichen,-0.0
abweicht,-0.0
abweichungen,0.0
abwertung,-0.0
abwertungseffekt,-0.0
abwägen,-0.01
abwärtstrend,-0.0
abwässern,0.0
aby,0.0
abysmal,0.0
abysmally,0.0
abyss,-0.0
abyssinia,0.0
abzeichnende,0.0
abzeichnet,0.0
abzielen,0.0
abzielt,-0.0
abzockerei,0.0
abzockerinitiative,0.0
abzudecken,0.0
abzug,-0.0
abzugeben,0.03
abzugsfähige,0.0
abzugsfähigkeit,0.0
abzuklären,0.0
abzuschliessen,0.0
abzuschreibende,-0.0
abzustellen,-0.0
abzustützen,0.0
abzuwarten,0.0
abzuzeichnen,0.0
abzüge,-0.0
abzüglich,-0.01
ac,0.08
aca,0.01
acacacac,-0.0
acacarda,0.0
acacia,0.03
acacias,0.01
acad,0.0
acadamy,-0.0
academia,-0.0
academic,0.0
academically,-0.0
academy,0.05
academyute,0.0
acadia,-0.01
académie,0.0
acaia,-0.01
acam,-0.02
acams,-0.0
acanto,0.01
acapulco,-0.0
acar,-0.0
acara,0.0
acaricide,0.0
acarix,0.0
acaroni,-0.0
acarrie,0.0
acas,-0.01
acatech,0.0
acb,-0.0
acbu,-0.02
acc,-0.09
acca,0.0
accademia,0.0
accalon,0.01
accarda,0.04
acccording,0.0
acccordingly,0.0
acccount,-0.0
acccounting,-0.0
acce,-0.0
accede,-0.0
accele,0.0
acceler,-0.0
accelerat,-0.0
accelerate,0.04
accelerated,0.06
accelerating,-0.01
acceleration,-0.01
accelerator,0.02
accelerometer,0.0
accelerometric,-0.0
acceleron,0.0
accell,0.04
accent,-0.02
accentro,0.0
accentuase,0.0
accentuate,0.01
accentuated,0.0
accentuating,0.0
accentuation,-0.0
accenture,-0.01
accep,-0.0
accepe,0.0
accept,-0.04
acceptability,-0.0
acceptable,0.0
acceptably,-0.0
acceptance,-0.01
acceptation,0.0
accepted,-0.0
accepting,-0.0
acceptée,0.0
acceptés,-0.0
acceso,-0.0
access,0.24
accessable,-0.0
accessarena,0.01
accesscard,-0.0
accessibility,0.01
accessibilityand,-0.0
accessibilité,0.0
accessible,0.02
accessibleroche,0.01
accessibly,-0.01
accessing,0.0
accession,0.0
accessknow,0.0
accessline,0.0
accessoire,0.0
accessoires,-0.02
accessorie,-0.0
accessorio,-0.0
accessorios,0.0
accessorize,0.0
accessorizing,0.0
accessory,-0.07
accesspublic,-0.0
accessvirtual,0.0
acciai,-0.01
acciaierei,-0.0
acciaierie,-0.01
acciden,0.0
accident,0.1
accidental,0.0
accidentally,0.0
accion,0.0
acciona,0.0
accl,-0.0
acclaim,-0.0
acclaimed,0.0
acclimate,0.0
acclimatisation,0.0
acclimatise,-0.0
acclimatised,0.0
acco,-0.01
accociated,0.0
accolade,-0.01
accom,0.0
accommo,0.0
accommodate,0.0
accommodation,0.01
accommodative,-0.0
accomodate,0.0
accomodation,0.01
accompa,-0.0
accompagnent,0.0
accompagner,0.0
accompagné,-0.0
accompagnée,0.0
accompanie,-0.0
accompanied,0.0
accompaniment,-0.0
accompany,-0.08
accompanying,0.01
accompli,0.0
accomplie,0.0
accomplish,0.0
accomplishe,0.0
accomplished,-0.01
accomplishment,-0.01
accomplite,0.0
accont,0.0
accoordingly,0.0
accor,0.0
accord,-0.03
accordance,0.07
accordancewith,-0.0
accorde,0.0
accordent,0.0
accorder,0.0
accordez,-0.01
according,0.0
accordingly,0.02
accordingto,0.0
accordingtolocallaw,-0.0
accordingtoswisstaxrule,-0.0
accordion,0.01
accordnace,0.0
accordon,-0.01
accordé,0.0
accordée,-0.0
accordées,0.0
accordés,0.0
accorhotel,0.0
accoridng,0.0
accotex,0.0
accoun,-0.01
account,-0.26
accountabilitie,0.0
accountability,-0.01
accountable,0.02
accountancy,-0.01
accountant,-0.05
accountantauditor,-0.0
accountantcertifie,0.0
accountantr,-0.0
accountantsorganisatie,-0.0
accounted,0.0
accountig,0.0
accountin,0.0
accounting,-0.11
accountingand,-0.0
accountingestimate,-0.0
accountingprinciple,0.0
accountingthe,0.0
accountsand,0.0
accountsstatutory,0.0
accoustics,0.0
accout,-0.0
accoute,0.0
accowmpanye,-0.0
accr,-0.0
accra,0.0
accrde,0.0
accredit,0.01
accreditation,0.01
accredited,0.01
accredo,0.0
accrete,-0.01
accretion,0.01
accretive,0.01
accross,-0.0
accroître,0.0
accru,0.0
accruable,0.0
accrual,-0.05
accrualsddddddddd,-0.0
accrualsss,-0.0
accrualsssssssssssss,-0.0
accrualssssssssssssssssssssssssssssssss,-0.0
accrue,-0.11
accrued,-0.02
accruedexpense,-0.0
accruedin,-0.0
accruing,0.02
accrure,0.0
accrus,0.0
accu,-0.12
accubird,0.0
accubraille,0.0
accudose,0.0
accueil,0.0
accueillant,0.0
accueillante,0.0
accueillent,0.0
accueillie,0.0
accueillir,0.0
accugene,0.0
acculturate,0.0
accum,0.0
accumlate,-0.0
accumu,-0.0
accumucurrency,-0.0
accumul,-0.0
accumula,-0.0
accumulata,0.0
accumulate,-0.09
accumulated,-0.0
accumulateddepreciation,-0.0
accumulatet,0.0
accumulation,0.01
accumulative,0.0
accumulator,-0.0
accumuler,0.0
accumulé,0.0
accupressure,0.0
accur,0.0
accura,0.0
accuracy,0.0
accural,-0.0
accurate,0.01
accuratecomparative,0.0
accurately,0.0
accure,-0.0
accurecognised,-0.0
accusation,0.0
accuse,0.0
accustaff,0.0
accustom,-0.0
accustomed,0.0
accut,0.0
accutane,-0.01
accutest,0.0
accuthe,0.0
accutrend,-0.01
accè,0.0
accès,0.0
accéder,-0.0
accélération,0.0
accélérer,0.0
accéléré,0.0
accélérée,0.0
acd,0.0
acdbe,0.0
ace,-0.01
acea,0.0
acebillo,-0.0
aceh,-0.0
acei,0.0
acel,0.0
acelepryn,0.0
acelkereskedelmi,-0.0
acellular,-0.0
acentral,0.0
acer,-0.0
acerbi,0.0
acerinox,0.0
aceros,0.0
acert,0.0
acess,0.0
acesso,0.0
acesulfame,0.0
acet,-0.0
acetabular,-0.0
acetabulum,-0.0
acetaldehyde,0.0
acetaminophen,0.0
acetat,-0.0
acetate,0.01
acetel,-0.0
acetic,0.0
aceto,-0.01
acetochlor,0.0
acetone,-0.0
acetonitrile,0.0
acetyl,0.01
acetylation,0.0
acetylcholine,-0.01
acetylene,0.0
acetylsteine,0.0
aceutica,-0.0
acfe,0.0
acg,0.0
ach,0.0
achat,0.0
achats,0.0
ache,-0.0
acheive,-0.0
achem,0.0
achema,0.0
achemasia,0.0
achen,0.0
acher,-0.0
achermann,0.04
acherstrasse,-0.0
acheson,-0.0
acheter,0.0
acheteur,0.0
acheté,0.0
achetée,0.0
achetées,0.0
achevé,0.0
achevée,0.0
achevées,0.0
achevés,0.0
achie,-0.0
achiev,-0.01
achievability,0.0
achievable,0.02
achieve,-0.02
achieved,-0.0
achieveden,-0.0
achieveeven,-0.0
achievement,0.19
achievementcappe,0.0
achieveprogress,0.0
achiever,-0.0
achieving,-0.0
achievment,-0.0
achille,0.0
achilles,0.0
achilli,-0.0
achillion,0.0
achim,-0.0
achin,-0.0
achinery,0.0
achinin,-0.0
achip,-0.0
achive,0.0
achkarren,-0.01
achoice,-0.0
achraﬁ,0.0
acht,-0.0
achte,0.0
achète,0.0
achètent,-0.0
achèvement,0.01
aci,0.01
acid,-0.05
acidic,0.0
acidification,0.0
acidity,0.0
acidosis,-0.0
acier,-0.02
aciex,0.0
acil,0.0
acilitie,0.0
aciln,-0.01
acin,-0.01
acinetobacter,0.01
acino,-0.0
acis,0.0
acitie,-0.0
acitivie,0.0
acitivite,0.0
acitivitie,-0.0
acitvitie,-0.0
acitvity,0.0
acity,0.01
ackage,-0.0
acker,0.0
ackermann,-0.01
acking,0.0
ackland,0.0
acklin,-0.0
acklit,0.0
acknow,-0.0
acknowledge,0.02
acknowledgement,0.0
acknowledgment,-0.01
acl,0.0
aclast,0.0
aclasta,-0.02
acm,0.0
acma,0.0
acmh,-0.0
acms,0.01
acn,0.0
acne,-0.09
aco,0.0
acof,-0.01
acompany,-0.0
acompte,0.0
aconsiderable,-0.0
acontinually,-0.0
acordance,0.0
acorn,0.0
acorporation,-0.0
acos,-0.0
acotecnica,0.0
acotex,0.0
acoubond,0.0
acount,-0.0
acounte,-0.0
acounting,-0.0
acous,-0.0
acoustic,0.14
acoustical,0.0
acoustically,-0.01
acousticand,0.0
acoustician,0.0
acousticians,-0.0
acoustics,0.01
acoxib,0.0
acp,-0.01
acph,0.01
acq,0.0
acqjuisition,-0.0
acqu,-0.0
acqua,0.0
acquaclean,0.0
acquaint,-0.0
acquaintance,0.0
acquainted,0.0
acquaviva,-0.0
acqui,-0.01
acquidata,0.0
acquiert,0.0
acquiesce,-0.0
acquir,0.0
acquire,0.08
acquired,0.0
acquiredclient,0.0
acquiredcompany,-0.0
acquireddifference,0.0
acquiredin,0.0
acquiredsubtotalchange,0.0
acquiredthe,-0.0
acquiredthrough,-0.0
acquiree,0.03
acquireee,0.0
acquirer,0.03
acquires,0.0
acquiring,-0.0
acquiror,0.0
acquis,0.01
acquisation,-0.0
acquise,0.01
acquisi,-0.0
acquisiion,0.0
acquision,-0.0
acquisisuch,-0.0
acquisiti,0.0
acquisitiion,0.0
acquisition,0.09
acquisitional,-0.01
acquisitionrelate,-0.0
acquisitionrelated,-0.0
acquisitions,0.01
acquisitive,0.01
acquisiton,0.0
acquistion,0.0
acquit,-0.0
acquition,-0.0
acquitision,-0.01
acquitter,0.0
acquièrent,0.0
acqurie,0.0
acqusition,-0.0
acquéreur,0.0
acquérir,0.0
acr,0.0
acra,0.0
acrania,0.0
acrawax,0.0
acre,0.01
acreage,0.02
acredit,0.0
acrobat,0.0
acrobatic,0.0
acromegaly,0.01
acron,0.0
acronym,0.0
acronyms,-0.0
acropoli,-0.0
acrossthe,-0.0
acrrue,-0.0
acrued,0.0
acrux,0.0
acryl,-0.0
acrylamide,0.0
acrylate,0.0
acrylic,-0.0
acrylomax,0.0
acrylonitrile,0.0
acrysof,0.02
acs,0.01
acsess,0.0
acsi,0.0
acsis,-0.0
acstyria,-0.0
act,0.09
acta,0.0
actalya,0.0
actano,-0.0
actara,0.03
actavi,0.0
actavis,0.01
actaﬁnance,0.0
acte,-0.0
actebis,0.0
actel,-0.0
actelion,0.72
actelionʼs,0.0
actellic,0.0
actemra,-0.03
acter,0.0
acteria,0.0
acterise,-0.0
acteristic,-0.0
acterize,0.0
acterized,-0.0
acterna,0.0
actes,0.0
acteur,0.0
acti,0.0
actibelt,0.0
actienbank,-0.0
actif,0.02
actiflex,-0.0
actifs,0.02
actigraphic,0.0
acting,-0.01
action,0.03
actionability,0.0
actionable,-0.0
actionaid,0.0
actional,-0.0
actionboard,-0.0
actionhero,-0.0
actionnair,0.0
actionnaire,-0.01
actionnaires,0.01
actionnariat,-0.01
actionpacked,-0.0
actions,-0.0
actis,0.01
actisbsp,0.0
actisorb,0.0
actitivity,-0.0
actitude,0.0
actitvitie,0.0
activ,0.0
activa,-0.0
activase,-0.0
activate,-0.0
activating,-0.0
activation,0.02
activator,0.01
active,0.04
activecommunication,0.0
activecontribution,0.0
activedialog,-0.0
activefocus,0.0
activeimage,0.0
actively,0.01
activelyquote,-0.0
activelytraded,-0.0
activement,0.0
activepos,-0.0
activesactive,0.0
activestock,0.01
activex,-0.0
activi,0.0
actividentity,0.0
activie,0.0
activietie,-0.0
activin,0.0
activision,0.0
activism,-0.0
activist,0.0
activit,0.0
activite,0.0
activitei,0.0
activitie,0.0
activitiesand,0.0
activitiesbalance,0.0
activitiesdddddd,-0.0
activitiesddddddddddd,-0.0
activitiesdecentrally,0.0
activitiesdisposal,-0.0
activitiesearning,-0.0
activitiesincrease,-0.0
activitiesinto,0.0
activitiesinvestment,-0.0
activitiesinvolved,-0.0
activitiesnet,0.0
activitiesproceed,0.0
activitiesprofit,0.0
activitiespurchase,0.0
activitiesrelate,-0.0
activitiestotaltotalresult,-0.0
activitiestransaction,0.0
activitite,0.0
activititie,-0.0
activity,-0.05
activité,-0.0
activités,0.01
activpos,-0.0
activtiy,0.0
activé,0.0
activées,0.0
actlem,-0.01
actly,-0.0
actment,-0.0
acto,0.0
actor,-0.0
actress,-0.01
actro,0.0
actros,0.0
actspark,-0.0
actu,-0.0
actua,0.0
actuaires,0.0
actual,0.05
actualidad,-0.0
actualisation,0.0
actualisé,0.0
actualisée,0.0
actualisées,0.0
actualisés,0.0
actuality,0.01
actualize,0.0
actually,0.02
actualpractice,-0.0
actualresult,-0.0
actualtranslationimpacttranslation,-0.0
actuarial,0.1
actuarialassumption,-0.01
actuarially,0.0
actuariel,0.0
actuarielle,0.0
actuariels,0.0
actuarily,0.0
actuary,-0.0
actuate,0.01
actuation,-0.0
actuator,-0.19
actuators,-0.01
actuatortechnology,-0.0
actuel,0.0
actuelle,0.0
actuellement,0.0
actuels,-0.0
actur,0.0
acture,-0.0
acturial,0.0
acturing,-0.0
actvila,-0.0
acudress,-0.02
acuity,-0.0
acuman,0.01
acumax,-0.01
acupuncture,0.0
acurator,-0.0
acuron,0.0
acutal,-0.0
acutarial,0.0
acute,-0.01
acutely,0.01
acutest,0.0
acuvue,-0.0
acv,0.0
acvr,0.0
acxit,0.0
acy,0.0
acyl,0.0
acza,0.0
acélkereskedelmi,-0.01
acústicos,0.01
ad,0.03
ada,0.0
adac,-0.0
adachi,-0.0
adaco,-0.01
adage,-0.0
adagent,0.0
adagp,-0.01
adair,0.02
adakveo,0.0
adalat,-0.0
adalbert,-0.0
adalbertstraße,-0.0
adalet,0.0
adalimumab,0.0
adaluzi,-0.0
adam,0.01
adama,0.0
adamant,-0.0
adame,-0.0
adamed,-0.0
adams,0.01
adamus,0.0
adamčík,-0.0
adamˇcík,-0.0
adana,0.0
adance,-0.0
adani,0.0
adansonia,-0.0
adapt,-0.03
adaptability,0.01
adaptable,-0.01
adaptation,-0.04
adaptations,0.0
adapted,0.0
adapter,0.0
adaptimmune,0.0
adapting,-0.0
adaption,0.02
adaptive,0.01
adaptogenic,0.0
adaptor,0.0
adaptronic,-0.02
adapts,-0.0
adapté,0.0
adaptée,0.0
adaptées,0.0
adaptés,0.0
adas,-0.0
adat,-0.01
adatabaseand,0.0
adaxys,0.0
aday,0.0
adb,0.01
adbel,0.0
adblue,-0.01
adc,-0.0
adcc,0.0
adco,-0.01
adconion,0.01
adcontact,0.0
adcs,0.01
adcubum,0.0
add,0.01
addback,0.0
addditive,0.0
adde,-0.01
added,-0.02
addedto,0.0
addedvalue,-0.0
addelite,0.0
addenda,0.0
addendum,-0.01
addex,-0.14
addi,-0.0
addict,-0.0
addicted,0.0
addiction,-0.0
addictive,-0.01
addiert,-0.0
addiment,-0.01
adding,-0.0
addingthe,0.0
addis,0.0
addison,0.0
additi,-0.0
additio,-0.0
addition,0.07
additional,-0.03
additionalgoodwill,0.0
additionality,-0.0
additionally,0.09
additionalmaterial,-0.0
additionalsurge,-0.0
additionaly,0.0
additionl,-0.0
additionnant,-0.0
additionnel,0.0
additionnelle,0.0
additionner,0.0
additionnés,0.0
additionsa,0.0
additionsb,0.0
additionsssssssss,-0.01
additionsssssssssssssssssssssssssssssss,-0.0
additition,0.0
additive,0.2
additively,0.0
additives,0.0
additon,-0.0
additonal,0.0
additonally,0.0
addl,-0.0
addock,-0.0
addon,-0.0
addre,-0.0
address,0.05
addressability,0.0
addressable,-0.0
addressee,-0.01
addressfair,0.02
addressing,0.0
addressretail,0.01
addtion,-0.0
addtition,0.0
adduce,-0.0
addwork,0.0
ade,-0.0
adecatumumab,0.01
adecco,0.65
adeccoclub,0.0
adeccogroup,0.03
adeccoiberia,0.0
adecconewvi,-0.0
adeccos,0.0
adeccoweb,0.01
adechsa,-0.0
adecia,-0.02
adecy,0.0
adeferred,-0.0
adefine,0.0
adegree,0.0
adelaide,-0.01
adelboden,-0.0
adele,0.0
adelheid,0.0
adeline,0.0
adelman,0.0
adelphi,-0.01
ademe,0.0
ademia,0.0
ademic,0.0
ademir,0.0
aden,0.0
adenauer,-0.0
adeno,0.0
adenocarcinoma,-0.0
adenoma,0.04
adenomas,0.01
adenosine,0.01
adenoviral,0.0
adenovirus,0.0
adeo,-0.0
adeola,0.0
adeplast,0.0
adept,0.0
adepth,-0.0
adeptly,-0.0
adequacy,0.01
adequate,0.0
adequately,-0.01
adequateness,0.0
ader,-0.0
aderis,0.0
adership,0.0
adesh,-0.02
adesivos,0.0
adevarate,-0.0
adextra,0.01
adf,0.0
adgm,0.0
adha,-0.0
adhd,0.0
adher,-0.0
adhere,-0.01
adherence,-0.02
adherent,-0.0
adherently,0.0
adherex,0.0
adhering,0.0
adheron,0.0
adhesa,-0.01
adhesion,0.01
adhesive,0.27
adhesives,0.04
adhoc,-0.0
adhäsion,0.0
adhäsiv,0.0
adi,-0.01
adia,0.06
